gene_symbol,drug_name
GPR12,GSK343
LTK,ZM447439
CDK6,AZD5438
DNMT3A,LY2109761
CTRB1,GSK269962A
NRAS,PLX-4720
EWSR1,WZ4003
CDK15,AZD5438
RICTOR,AZD8055
EIF5AP3,MK-8776
GCNT1,EPZ004777
CDK19,AZD5438
PIK3CB,AZD6482
ALDH1A1,MG-132
HLA-DMA,AZ6102
FGFR1,PD173074
CDK18,AZD5438
TAOK1,BMS-345541
PDGFRA,ZM447439
CHEK1,AZD7762
GCLM,OF-1
DPH1,BMS-754807
AURKA,ZM447439
MAP2K1,PLX-4720
EIF4A1,MK-8776
GLDC,OF-1
MYCN,JQ1
PTEN,OSI-027
AKT1,BMS-754807
HDAC5,SN-38
OPN1MW,UNC0638
UGT1A6,SN-38
AURKB,ZM447439
,PD173074
PIK3CA,AZD6482
MAP2K1,ZM447439
SRC,PD173074
TYRO3,ZM447439
HDAC6,SN-38
CDK8,AZD5438
KDM5C,IOX2
MTOR,AZD8055
KMT2A,JQ1
ROCK1,GSK269962A
TP53,AZD6482
MET,BMS-754807
AR,MK-2206
AKT1,MK-2206
CYP2A13,GSK2606414
PTEN,AZD6482
CDK9,AZD5438
EEF1D,ZM447439
PIK3CA,AZD8055
CFL1,MG-132
GNGT1,AZD5582
EIF2AK3,GSK2606414
GNG11,AZD5582
,LCL161
ARID1A,JQ1
ETFB,AZD8055
CHUK,BMS-345541
CDK2,BMS-345541
NUAK1,WZ4003
HLA-F,GSK2830371
ARID1A,AZD8055
CSTF3,MK-2206
UBE2T,MK-2206
GLI1,SGC-CBP30
CES2,SN-38
ABCC2,SN-38
PRKD2,BMS-345541
NRAS,PF-4708671
BIRC3,LCL161
CDK12,AZD5438
YES1,PD173074
RET,ZM447439
EIF5AP3,AZD7762
XIAP,LCL161
EZH2,GSK343
CDK7,AZD5438
PTEN,AZD5991
GNG10,AZD5582
LCK,ZM447439
RICTOR,OSI-027
HDAC2,SN-38
AKT2,MK-2206
GNG10,LCL161
ATM,AZD6482
BIRC6,LCL161
MAP2K2,ZM447439
TP53,JQ1
NAIP,LCL161
BRAF,AZD6482
GNG11,LCL161
CSTP1,MK-2206
HRAS,PD173074
MCHR1,AZD5991
GFER,IOX2
BIRC2,LCL161
FGFR1,AZD8055
JAK2,AZ960
DRD5P1,AZD1332
CDK5,AZD5438
DRG2,AZD1332
HSP90AA1,CCT-018159
GCNT1,SGC0946
GPX1P2,AGI-5198
CDK20,AZD5438
GLC3B,I-BRD9
KMT2A,SGC0946
CDK17,AZD5438
HRAS,AZD8055
DEPTOR,AZD8055
MTOR,OSI-027
CHEK1,AZD7762
CSNK1D,BMS-345541
PTEN,AZD8055
SMAD3,MK-2206
FKBP2,MK-2206
PRMT5,GSK591
FYN,ZM447439
AKT1,MK-2206
BRD4,JQ1
NTRK1,BMS-754807
RPTOR,OSI-027
CES1,SN-38
HRAS,SCH772984
IKBKB,BMS-345541
FBXW7,AZD7762
F7R,AZD6482
CTTN,GSK2606414
HDAC1,SN-38
FGFR2,PD173074
HDAC10,SN-38
MLST8,AZD8055
BTK,ZM447439
PSMB5,MG-132
CD274,JQ1
PTEN,UMI-77
TOP1,SN-38
UGT1A3,SN-38
MAPKAP1,AZD8055
IDH1,AGI-5198
MAP2K1,SCH772984
NTRK2,ZM447439
GNAQ,PLX-4720
PIK3CA,PF-4708671
GCNT2,A-366
IDH1,PD173074
DEPTOR,OSI-027
EGR4,AZD5438
KMT2A,EPZ004777
PSMB2,MG-132
GCNT2,UNC0638
FRA9D,ML323
CDK1,BMS-345541
CDK3,AZD5438
CTNNA1,SCH772984
EFNA2,SB590885
TP53,GSK2830371
F10,AZD1208
F9,AZD1208
KDR,ZM447439
EIF4A1,AZD5438
FGFR3,PD173074
ABCG2,SN-38
AKT1S1,AZD8055
EFNA4,BI-2536
AKT1S1,OSI-027
INSR,BMS-754807
NTRK2,BMS-754807
BRAF,SCH772984
HDAC3,SN-38
CDK16,AZD5438
CDK2,AZD5438
EFNA2,PLX-4720
EHMT2,MG-132
GLC#,GSK2801
FLT3,AGI-5198
AURKB,BMS-754807
EIF4G1,AZD5438
CDK11B,AZD5438
TP53,AZD7762
YES1,PLX-4720
DPEP1,BMS-536924
HDAC11,SN-38
CDK13,AZD5438
F7,AZD6482
PLK1,BI-2536
PIK3CA,OSI-027
BRAF,BI-2536
ATM,KU-55933
BRAF,SB590885
BCHE,SN-38
RICTOR,OSI-027
CXCR3,IOX2
TNK2,ZM447439
PLK1,BI-2536
IGF1R,BMS-536924
AXL,BMS-754807
COX6A1,BMS-536924
FAH,SB590885
IGF1R,BMS-754807
NRAS,SCH772984
UGT1A8,SN-38
MTOR,OSI-027
FABP3,BI-2536
F5,AZD6482
LIMK1,BMS-345541
HDAC9,SN-38
DMTN,BMS-345541
CDK14,AZD5438
CHEK2,AZD7762
F11,AZD1208
PLK2,BI-2536
DOCK3,LY2109761
MAPKAP1,OSI-027
RAC1,PLX-4720
HDAC7,SN-38
ADAMTSL4-AS1,AZD5991
TP53,SN-38
