gene_symbol,drug_name,interaction_score,approved,immunotherapy,anti_neoplastic,mutation_count,pathway_count,drug_count,degree,target
DPH1,BMS-536924,0.69089043,False,False,True,328.0,4.0,19.0,23.0,1
KDR,ZM447439,0.019461703,False,False,False,503.0,0.0,141.0,141.0,0
AKT3,MK-2206,0.82043236,False,False,True,484.0,83.0,32.0,115.0,0
AKT2,MK-2206,0.64824283,False,False,True,510.0,98.0,27.0,125.0,0
EFNA4,BI-2536,0.1744441,False,False,True,112.0,6.0,43.0,49.0,1
EZH2,GSK343,1.4585464,False,False,False,1455.0,43.0,17.0,60.0,0
FGFR3,PD173074,0.34544522,False,False,True,2444.0,37.0,94.0,131.0,0
FGFR2,PD173074,0.61055434,False,False,True,1902.0,38.0,85.0,123.0,0
YES1,PD173074,0.03155509,False,False,True,72.0,0.0,208.0,208.0,0
MAP2K1,ZM447439,0.032899544,False,False,False,1480.0,0.0,76.0,76.0,0
RET,ZM447439,0.034118045,False,False,False,8786.0,0.0,80.0,80.0,0
MET,BMS-754807,0.11112735,False,False,True,9731.0,0.0,100.0,100.0,1
MST1R,BMS-754807,0.48618215,False,False,True,538.0,0.0,24.0,24.0,1
IKBKB,BMS-345541,0.45461187,False,False,False,1723.0,82.0,21.0,103.0,0
EPHB2,AZ960,0.34544522,False,False,False,347.0,8.0,76.0,84.0,1
HLA-DMA,AZ6102,6.563459,False,False,False,28.0,3.0,8.0,11.0,0
AKT1,MK-2206,0.36977234,False,False,True,1928.0,113.0,70.0,183.0,0
AURKA,ZM447439,0.046840027,False,False,False,102.0,0.0,57.0,57.0,0
AURKB,ZM447439,0.04124719,False,False,False,94.0,0.0,65.0,65.0,0
ATXN2,PD173074,0.026572708,False,False,True,480.0,0.0,247.0,247.0,0
TOP1,SN-38,0.031254567,False,False,False,156.0,0.0,116.0,116.0,1
UGT1A8,SN-38,0.25003654,False,False,False,120.0,0.0,15.0,15.0,1
UGT1A6,SN-38,0.2678963,False,False,False,114.0,0.0,14.0,14.0,1
GNG11,AZD5582,1.7502557,False,False,False,4.0,71.0,10.0,81.0,1
BRD4,JQ1,0.34544522,False,False,True,1933.0,11.0,19.0,30.0,1
FYN,ZM447439,0.076765604,False,False,False,104.0,100.0,36.0,136.0,0
EFNA2,SB590885,0.6731753,False,False,False,74.0,6.0,26.0,32.0,0
GNGT1,AZD5582,3.5005114,False,False,False,20.0,75.0,5.0,80.0,1
GNG10,AZD5582,1.7502557,False,False,False,14.0,71.0,10.0,81.0,1
ATM,KU-55933,0.4795221,False,False,False,38894.0,0.0,73.0,73.0,0
FABP2,BI-2536,3.750548,False,False,True,90.0,4.0,2.0,6.0,1
