gene_symbol,mutation_count,pathway_count,drug_count,degree
A1BG,172,7.0,116.0,123
A1BG-AS1,8,0.0,0.0,0
A1CF,140,4.0,0.0,4
A1CF;ASAH2B;PRKG1;SGMS1,2,0.0,0.0,0
A2M,466,14.0,83.0,97
A2M;A2ML1;KLRG1;M6PR;MFAP5;PHC1;PZP;RIMKLB,1,0.0,0.0,0
A2M;A2ML1;KLRG1;M6PR;PHC1,1,0.0,0.0,0
A2M-AS1,2,0.0,0.0,0
A2M;KLRG1,2,0.0,0.0,0
A2M;KLRG1;M6PR;PHC1;PZP,1,0.0,0.0,0
A2ML1,3992,0.0,0.0,0
A3GALT2,16,0.0,0.0,0
A4GALT,282,0.0,0.0,0
A4GALT;ARFGAP3,3,0.0,0.0,0
A4GALT;ATP5MGL;CYB5R3;NFAM1;POLDIP3;RRP7A;SERHL2;TCF20,1,0.0,0.0,0
A4GNT,118,0.0,0.0,0
A4GNT;DBR1,1,0.0,0.0,0
AAAS,1139,0.0,0.0,0
AACS,286,0.0,0.0,0
AACS;BRI3BP;DHX37;SCARB1;TMEM132B;UBC,2,0.0,0.0,0
AACS;BRI3BP;TMEM132B,1,0.0,0.0,0
AACS;UBC;DHX37;TMEM132B;BRI3BP;SCARB1,1,0.0,0.0,0
AADAC,114,3.0,104.0,107
AADAC;AADACL2-AS1,4,0.0,0.0,0
AADAC;AADACL2;IGSF10;MED12L;SUCNR1,1,0.0,0.0,0
AADACL2,118,0.0,0.0,0
AADACL3,108,0.0,0.0,0
AADACL3;AADACL4;CFAP107;DHRS3;PRAMEF12;VPS13D,1,0.0,0.0,0
AADACL4,154,0.0,0.0,0
AADACL4;DHRS3;VPS13D,1,0.0,0.0,0
AADAT,74,0.0,0.0,0
AADAT;CBR4;CLCN3;HPF1;LOC101928198;MFAP3L;NEK1;PALLD;SH3RF1,1,0.0,0.0,0
AADAT;CLCN3;HPF1;LOC101928198;MFAP3L,1,0.0,0.0,0
AAGAB,297,0.0,0.0,0
AAGAB;C15orf61;IQCH;MAP2K5;SMAD3,1,0.0,0.0,0
AAGAB;IQCH,3,0.0,0.0,0
AAGAB;IQCH;SMAD3,1,0.0,0.0,0
AAGAB;SMAD3,2,0.0,0.0,0
AAK1,284,4.0,6.0,10
AAK1;ANXA4;GFPT1;GMCL1;MXD1;NFU1;SNRNP27,1,0.0,0.0,0
AAK1;GFPT1;NFU1,1,0.0,0.0,0
AAMDC,50,0.0,0.0,0
AAMDC;ALG8;INTS4;KCTD14;KCTD21;NDUFC2;NDUFC2-KCTD14;THRSP;USP35,1,0.0,0.0,0
AAMDC;ALG8;INTS4;KCTD14;NDUFC2;NDUFC2-KCTD14;THRSP,1,0.0,0.0,0
AAMDC;INTS4,2,0.0,0.0,0
AAMDC;INTS4;KCTD14;NDUFC2;NDUFC2-KCTD14;RSF1;THRSP,4,0.0,0.0,0
AAMP,122,12.0,95.0,107
AANAT,116,4.0,88.0,92
AANAT;CYGB;PRCD;RHBDF2;ST6GALNAC2;UBE2O,1,0.0,0.0,0
AAR2,132,0.0,0.0,0
AAR2;DLGAP4;EPB41L1,1,0.0,0.0,0
AARD,52,0.0,0.0,0
AARD;EIF3H;EXT1;MED30;RAD21;SAMD12;SLC30A8;UTP23,1,0.0,0.0,0
AARD;EIF3H;EXT1;MED30;RAD21;SLC30A8;UTP23,1,0.0,0.0,0
AARD;EIF3H;LINC00536;RAD21;SLC30A8;UTP23,1,0.0,0.0,0
AARD;EIF3H;RAD21;SLC30A8;UTP23,1,0.0,0.0,0
AARS1,3385,4.0,88.0,92
AARS1;CLEC18A;CLEC18C;EXOSC6;LOC400541;PDPR,1,0.0,0.0,0
AARS1;COG4;DDX19A;DDX19B;FCSK;SF3B3;ST3GAL2,1,0.0,0.0,0
AARS1;DDX19B,2,0.0,0.0,0
AARS2,1442,0.0,0.0,0
AARS2;CDC5L;DRC5;HSP90AB1;NFKBIE;SLC29A1;SLC35B2;SPATS1;TMEM151B,1,0.0,0.0,0
AARSD1;PTGES3L-AARSD1,106,0.0,0.0,0
AARSD1;PTGES3L;PTGES3L-AARSD1,2,0.0,0.0,0
AASDH,332,0.0,0.0,0
AASDHPPT,94,0.0,0.0,0
AASDHPPT;KBTBD3;MSANTD4,1,0.0,0.0,0
AASS,634,3.0,0.0,3
AASS;LOC129999210;LOC129999211,3,0.0,0.0,0
AATBC,4,0.0,0.0,0
AATF,226,5.0,0.0,5
AATF;ACACA;C17orf78;DUSP14;LHX1;SYNRG;TADA2A,1,0.0,0.0,0
AATF;ACACA;C17orf78;LHX1;TADA2A,1,0.0,0.0,0
AATK,670,0.0,0.0,0
ABAT,1632,5.0,87.0,92
ABAT;CARHSP1;GRIN2A;HAPSTR1;PMM2;TMEM186;USP7,1,0.0,0.0,0
ABAT;CARHSP1;HAPSTR1;METTL22;PMM2;TMEM114;TMEM186;USP7,2,0.0,0.0,0
ABAT;CARHSP1;HAPSTR1;METTL22;PMM2;TMEM186;USP7,1,0.0,0.0,0
ABAT;CARHSP1;HAPSTR1;PMM2;TMEM186;USP7,7,0.0,0.0,0
ABAT;CARHSP1;METTL22;PMM2;TMEM114;TMEM186;USP7,1,0.0,0.0,0
ABAT;CARHSP1;METTL22;PMM2;TMEM186,1,0.0,0.0,0
ABAT;CARHSP1;METTL22;PMM2;TMEM186;USP7,1,0.0,0.0,0
ABAT;CARHSP1;PMM2;TMEM186,3,0.0,0.0,0
ABAT;CARHSP1;PMM2;TMEM186;USP7,6,0.0,0.0,0
ABAT;METTL22,3,0.0,0.0,0
ABAT;METTL22;TMEM114,3,0.0,0.0,0
ABAT;PMM2;TMEM186,8,0.0,0.0,0
ABAT;TMEM186,1,0.0,0.0,0
ABCA1,3867,16.0,104.0,120
ABCA10,446,3.0,0.0,3
ABCA10;ABCA5;ABCA6,1,0.0,0.0,0
ABCA10;ABCA5;ABCA6;ABCA8;ABCA9,1,0.0,0.0,0
ABCA10;ABCA5;ABCA6;ABCA8;ABCA9;FAM20A,1,0.0,0.0,0
ABCA10;ABCA6;ABCA8;ABCA9,1,0.0,0.0,0
ABCA10;ABCA6;ABCA8;ABCA9;ARSG;FAM20A;PRKAR1A;SLC16A6;WIPI1,1,0.0,0.0,0
ABCA12,3649,7.0,0.0,7
ABCA12;ATIC;BARD1,1,0.0,0.0,0
ABCA12;ATIC;BARD1;FN1,2,0.0,0.0,0
ABCA12;ATIC;BARD1;FN1;SPAG16;VWC2L,2,0.0,0.0,0
ABCA12;BARD1,1,0.0,0.0,0
ABCA12;BARD1;CPS1;ERBB4;IKZF2;SPAG16;VWC2L,1,0.0,0.0,0
ABCA12;BARD1;VWC2L,1,0.0,0.0,0
ABCA12;LOC129388992;SNHG31;SNORA70I,2,0.0,0.0,0
ABCA13,1884,3.0,0.0,3
ABCA13;C7orf57;HUS1;LINC02902;PKD1L1;PKD1L1-AS1;SUN3;TNS3;UPP1,1,0.0,0.0,0
ABCA13;LOC126860027;LOC126860028;LOC129998422,2,0.0,0.0,0
ABCA13;LOC126860028;LOC129998422,2,0.0,0.0,0
ABCA2,1356,3.0,77.0,80
ABCA2;FUT7;LINC02908;LOC130003066;NPDC1,2,0.0,0.0,0
ABCA3,3799,12.0,97.0,109
ABCA4,9189,10.0,44.0,54
ABCA4;BCAR3;DNTTIP2;FNBP1L;GCLM,1,0.0,0.0,0
ABCA4;BCAR3;DNTTIP2;GCLM,1,0.0,0.0,0
ABCA4;LOC126805793,2,0.0,0.0,0
ABCA5,600,3.0,1.0,4
ABCA6,508,8.0,0.0,8
