2026-07-02 11:26:37,308 | INFO | QuantumCancerAI | Quantum Cancer AI logger initialized.
2026-07-02 11:26:37,308 | WARNING | QuantumCancerAI | This is a warning.
2026-07-02 11:26:37,308 | ERROR | QuantumCancerAI | This is an error.
2026-07-02 11:39:15,899 | WARNING | QuantumCancerAI | Validation error on /api/predict: [{'type': 'list_type', 'loc': ('body', 'genes'), 'msg': 'Input should be a valid list', 'input': 123}]
2026-07-02 13:55:44,344 | INFO | QuantumCancerAI | [24e4dfc6-a19e-46d1-bcb1-1dd2233633f4] GET /docs -> 200 (0.38 ms)
2026-07-02 13:55:44,400 | INFO | QuantumCancerAI | [3262be59-9988-4a77-9387-7954bcf587e5] GET /openapi.json -> 200 (3.75 ms)
2026-07-02 13:56:17,834 | INFO | QuantumCancerAI | [d5720ac1-e815-4c12-b6ce-33ccfeefbd8b] POST /api/predict -> 200 (20912.79 ms)
2026-07-02 13:58:23,030 | INFO | QuantumCancerAI | [3d5ee1ed-b801-442f-a1b2-a696b8211f4f] GET /docs -> 200 (0.45 ms)
2026-07-02 13:58:23,067 | INFO | QuantumCancerAI | [6ac04659-5e4c-49ba-9cde-a9d35fc6e5d0] GET /openapi.json -> 200 (2.52 ms)
2026-07-02 13:58:56,683 | INFO | QuantumCancerAI | [a369052a-f5aa-42f0-8419-ce28b1d0d1c1] POST /api/predict -> 200 (21107.40 ms)
2026-07-02 14:04:03,825 | INFO | QuantumCancerAI | [36716ed6-137d-470c-b49a-bc8acb5a5b39] GET /docs -> 200 (1.74 ms)
2026-07-02 14:04:03,903 | INFO | QuantumCancerAI | [e6b5397c-ab16-4b08-a442-c427051bb398] GET /openapi.json -> 200 (3.32 ms)
2026-07-02 14:04:37,380 | INFO | QuantumCancerAI | [bc9bc21a-6f99-4ed7-8e27-cda19ca4cbda] POST /api/predict -> 200 (22172.40 ms)
2026-07-02 14:18:31,887 | INFO | QuantumCancerAI | [fd664140-24e9-405b-b488-aa7d56e5f589] GET /docs -> 200 (2.18 ms)
2026-07-02 14:18:31,973 | INFO | QuantumCancerAI | [6abdccde-64bb-47d8-8ca4-0774c8362956] GET /openapi.json -> 200 (3.63 ms)
2026-07-02 14:18:42,244 | INFO | QuantumCancerAI | [8ae24b1e-4001-48cc-b925-f03ee6dbf9a0] GET /api/models -> 200 (1.37 ms)
2026-07-02 14:21:37,338 | INFO | QuantumCancerAI | [8d695a80-edb3-47c1-9797-7bbdecfb9369] GET /docs -> 200 (0.55 ms)
2026-07-02 14:21:37,397 | INFO | QuantumCancerAI | [803d6ed0-cdb0-4bae-a792-2b86fd4cf943] GET /openapi.json -> 200 (3.59 ms)
2026-07-02 14:21:43,460 | INFO | QuantumCancerAI | [55b7f460-3d3b-4f45-80f8-e64cc792fa73] GET /api/models -> 200 (1.65 ms)
2026-07-03 14:59:14,249 | INFO | QuantumCancerAI | [f110393d-1601-469d-81b7-a1861010bc3b] POST /api/predict -> 200 (2751.43 ms)
2026-07-03 15:02:29,686 | INFO | QuantumCancerAI | [0629525d-da4a-47f4-a9de-696b93eae2ff] POST /api/predict -> 200 (4163.36 ms)
2026-07-03 15:13:35,325 | INFO | QuantumCancerAI | [36b511d2-5e70-4cdb-986c-17747ca3e0b1] POST /api/predict -> 200 (2997.72 ms)
2026-07-03 15:25:43,971 | INFO | QuantumCancerAI | [247258a7-d4e5-49e8-9783-ade7fd720d5c] OPTIONS /api/predict -> 200 (0.24 ms)
2026-07-03 15:25:47,220 | INFO | QuantumCancerAI | [56692f85-876e-4c16-81e3-80513cda311e] POST /api/predict -> 200 (3248.02 ms)
2026-07-03 15:49:26,083 | INFO | QuantumCancerAI | [2fe58937-403d-44f5-acd4-252db0a55af5] OPTIONS /api/predict -> 200 (0.63 ms)
2026-07-03 15:49:29,652 | INFO | QuantumCancerAI | [6406d2ac-3070-43ef-9147-259e15d5ed20] POST /api/predict -> 200 (3565.45 ms)
